Year,SurveyID,Presence,sLatitude,sLongitude
2025,103405,0,N-64-42-52.00,W-164-00-30.07
2025,103407,0,N-65-45-51.74,W-147-00-52.51
2025,103409,1,N-69-03-07.97,W-149-49-30.23
2025,103411,1,N-58-00-02.38,W-135-05-15.61
2025,103413,0,N-63-09-59.09,W-146-30-51.90
2025,103415,1,N-62-57-45.91,W-155-35-32.30
2025,103417,1,N-61-31-04.96,W-149-37-30.11
2025,103419,1,N-65-18-25.78,W-149-10-44.34
2025,103421,0,N-63-40-44.27,W-157-42-33.27
2025,103423,0,N-64-30-39.57,W-155-30-36.96
2025,103425,0,N-59-31-40.84,W-135-15-23.37
2025,103427,1,N-64-45-55.06,W-166-00-49.29
2025,103429,1,N-56-21-24.95,W-132-46-20.82
2025,103431,1,N-63-52-45.97,W-145-45-38.13
2025,103433,1,N-62-55-50.82,W-160-40-01.56
2025,103435,1,N-57-59-28.89,W-135-27-03.69
2025,103437,1,N-60-41-59.06,W-161-36-20.20
2025,103439,0,N-55-55-00.98,W-130-01-00.43
2025,103811,1,N-67-06-07.28,W-158-16-58.55
2025,103817,1,N-61-00-47.34,W-149-00-45.01
2025,103821,0,N-59-29-00.40,W-139-10-35.14
2025,103825,1,N-59-00-25.56,W-139-00-08.53
2025,103851,1,N-61-07-24.45,W-146-15-35.12
2025,103881,1,N-66-35-56.76,W-159-09-24.65
2025,103883,1,N-64-44-49.02,W-156-58-51.84
2025,103891,1,N-55-10-22.57,W-162-15-22.36
2025,103901,0,N-63-02-46.90,W-145-47-22.60
2025,103903,1,N-61-22-04.53,W-143-30-40.99
2025,103905,0,N-61-31-19.85,W-143-05-45.16
2025,104001,1,N-49-56-47.52,W-110-47-18.94
2025,104003,0,N-49-04-42.44,W-112-27-18.88
2025,104005,0,N-49-39-59.73,W-114-35-11.90
2025,104007,1,N-50-34-44.21,W-111-51-31.06
2025,104009,1,N-50-37-40.58,W-113-02-24.56
2025,104011,1,N-51-01-09.48,W-110-47-42.40
2025,104013,0,N-51-47-53.97,W-112-39-43.64
2025,104015,1,N-51-50-07.53,W-114-28-53.30
2025,104017,1,N-51-31-43.63,W-116-15-31.73
2025,104019,1,N-52-12-51.87,W-111-04-33.61
2025,104021,1,N-52-12-19.52,W-113-14-35.96
2025,104023,1,N-52-31-33.91,W-115-59-39.96
2025,104025,1,N-52-44-06.81,W-117-40-56.63
2025,104027,1,N-53-44-26.72,W-111-32-56.85
2025,104029,0,N-53-42-58.42,W-113-48-27.39
2025,104031,1,N-53-47-32.47,W-115-15-51.01
2025,104033,1,N-53-24-42.66,W-117-40-08.81
2025,104037,0,N-54-16-42.97,W-111-17-28.66
2025,104039,1,N-54-50-48.46,W-113-06-48.84
2025,104041,1,N-54-53-17.80,W-115-50-31.94
2025,104045,1,N-54-59-55.05,W-119-07-45.29
2025,104049,1,N-55-28-33.50,W-112-21-15.53
2025,104051,0,N-55-16-01.30,W-115-22-41.47
2025,104053,1,N-55-46-31.08,W-117-50-23.14
2025,104055,1,N-55-08-23.86,W-119-13-38.29
2025,104057,1,N-56-15-19.43,W-111-39-55.78
2025,104061,1,N-56-16-08.02,W-115-05-15.86
2025,104063,1,N-56-17-38.33,W-117-48-55.02
2025,104065,1,N-56-12-01.39,W-119-49-17.42
2025,104077,1,N-59-58-02.48,W-111-50-27.28
2025,104101,1,N-49-16-23.33,W-110-42-20.14
2025,104103,1,N-49-37-54.80,W-112-09-08.36
2025,104105,1,N-49-04-54.39,W-113-54-39.68
2025,104107,1,N-50-48-58.25,W-111-06-16.90
2025,104109,1,N-50-25-53.31,W-113-49-28.50
2025,104111,1,N-51-27-55.99,W-111-23-19.27
2025,104113,1,N-51-47-19.90,W-112-05-18.24
2025,104115,0,N-51-33-47.88,W-114-11-48.03
2025,104119,1,N-52-54-47.51,W-111-53-08.81
2025,104121,1,N-52-43-44.22,W-113-53-44.80
2025,104123,1,N-52-04-27.00,W-115-48-15.05
2025,104125,1,N-52-30-27.21,W-117-30-57.38
2025,104127,0,N-53-05-51.15,W-111-47-52.57
2025,104129,1,N-53-07-45.19,W-113-07-02.22
2025,104131,0,N-53-46-07.12,W-115-36-20.22
2025,104137,0,N-54-48-57.49,W-111-59-05.95
2025,104139,1,N-53-04-59.19,W-113-44-41.36
2025,104141,0,N-54-45-47.01,W-115-31-18.60
2025,104149,0,N-55-54-35.15,W-113-43-47.03
2025,104153,1,N-55-05-26.91,W-117-20-23.73
2025,104155,1,N-55-19-28.77,W-119-36-42.08
2025,104157,0,N-56-10-23.20,W-111-05-27.32
2025,104163,0,N-56-43-50.08,W-117-23-43.95
2025,104201,1,N-49-33-12.39,W-110-17-49.03
2025,104203,1,N-49-22-08.07,W-112-38-30.37
2025,104205,1,N-49-39-10.47,W-114-31-38.24
2025,104207,0,N-50-08-38.87,W-111-59-00.32
2025,104209,0,N-50-24-21.83,W-113-28-12.38
2025,104211,0,N-51-22-58.25,W-111-11-29.18
2025,104213,1,N-51-11-12.41,W-112-18-24.48
2025,104215,1,N-51-13-16.39,W-114-45-05.67
2025,104219,0,N-52-04-30.84,W-111-39-24.51
2025,104221,1,N-52-33-53.43,W-113-58-58.01
2025,104223,1,N-52-47-57.52,W-115-32-36.48
2025,104225,1,N-52-58-52.84,W-117-21-19.50
2025,104227,0,N-53-46-34.01,W-111-15-04.78
2025,104229,0,N-53-20-38.31,W-113-51-41.24
2025,104231,1,N-53-44-09.55,W-115-46-23.71
2025,104237,1,N-54-32-27.47,W-111-22-27.42
2025,104239,0,N-54-01-27.76,W-113-20-29.63
2025,104241,1,N-54-08-54.01,W-115-02-18.86
2025,104251,0,N-55-08-15.03,W-115-20-51.03
2025,104253,1,N-55-26-15.63,W-117-11-53.67
2025,104255,1,N-55-32-57.34,W-119-01-54.10
2025,104301,0,N-49-31-53.19,W-110-41-10.84
2025,104303,1,N-49-27-09.06,W-112-24-11.11
2025,104307,1,N-50-46-44.81,W-111-58-49.70
2025,104309,0,N-50-03-45.30,W-113-25-17.06
2025,104311,1,N-51-26-25.41,W-111-55-13.37
2025,104313,1,N-51-18-36.96,W-112-00-23.33
2025,104315,0,N-51-22-46.54,W-114-16-21.61
2025,104319,1,N-52-00-41.12,W-111-49-33.21
2025,104321,1,N-52-44-37.20,W-113-12-02.65
2025,104323,0,N-52-33-29.97,W-115-45-42.46
2025,104327,0,N-53-27-07.44,W-111-07-28.77
2025,104329,0,N-53-08-54.17,W-113-12-25.41
2025,104331,1,N-53-33-09.66,W-115-26-23.70
2025,104337,0,N-54-24-51.00,W-111-28-25.26
2025,104339,1,N-54-37-55.39,W-113-25-14.73
2025,104353,0,N-55-59-35.05,W-117-09-44.42
2025,104355,1,N-55-15-07.01,W-119-58-47.54
2025,104421,1,N-52-13-56.01,W-113-14-02.96
2025,106001,1,N-36-19-26.99,W-113-19-34.68
2025,106003,0,N-36-29-15.09,W-111-36-19.24
2025,106005,1,N-36-31-06.77,W-109-26-45.09
2025,106007,0,N-35-31-58.96,W-113-14-50.31
2025,106009,1,N-35-23-24.92,W-111-42-16.39
2025,106011,1,N-35-39-54.63,W-109-09-16.66
2025,106013,1,N-34-35-36.42,W-113-47-52.04
2025,106015,1,N-34-51-08.37,W-111-25-26.99
2025,106017,0,N-34-40-13.91,W-109-26-32.50
2025,106019,1,N-33-53-53.98,W-113-53-42.69
2025,106021,1,N-33-01-13.10,W-111-09-41.12
2025,106023,1,N-33-42-11.42,W-109-08-30.10
2025,106025,1,N-32-50-20.46,W-113-44-14.48
2025,106027,1,N-32-56-43.41,W-111-20-08.58
2025,106029,1,N-32-29-31.79,W-109-22-33.69
2025,106031,1,N-31-23-05.89,W-111-05-21.51
2025,106033,1,N-31-49-56.37,W-109-42-17.19
2025,106051,1,N-36-17-10.34,W-113-04-30.03
2025,106053,0,N-36-54-44.63,W-111-27-11.74
2025,106055,0,N-36-22-10.25,W-109-37-07.77
2025,106057,1,N-35-25-20.02,W-113-48-38.70
2025,106059,0,N-35-09-44.41,W-111-56-53.68
2025,106061,0,N-35-35-25.23,W-109-51-59.52
2025,106063,0,N-34-14-50.76,W-113-36-23.83
2025,106065,0,N-34-21-37.84,W-111-06-12.61
2025,106067,1,N-34-07-15.15,W-109-52-03.16
2025,106069,1,N-33-17-05.67,W-112-56-34.89
2025,106071,0,N-33-49-58.59,W-111-38-18.53
2025,106073,1,N-33-52-52.40,W-109-10-28.60
2025,106077,0,N-32-34-04.07,W-111-19-58.11
2025,106079,1,N-32-42-38.57,W-109-44-19.64
2025,106081,1,N-31-43-10.85,W-111-03-53.65
2025,106083,1,N-31-38-20.59,W-109-28-46.00
2025,106101,1,N-36-41-15.91,W-113-27-34.36
2025,106103,1,N-36-36-53.65,W-111-04-41.91
2025,106105,1,N-36-17-23.35,W-109-11-15.74
2025,106107,1,N-35-27-41.75,W-113-00-39.71
2025,106115,1,N-34-44-38.02,W-111-27-39.10
2025,106119,1,N-33-53-39.79,W-113-53-10.84
2025,106121,1,N-33-04-04.85,W-111-14-30.31
2025,106123,1,N-33-42-02.01,W-109-08-37.27
2025,106127,1,N-32-57-30.65,W-111-20-40.27
2025,106133,1,N-31-59-49.70,W-109-12-26.53
2025,106901,1,N-31-36-34.07,W-109-13-28.79
2025,107001,1,N-33-18-09.52,W-91-53-42.70
2025,107003,1,N-33-54-19.94,W-92-36-10.38
2025,107005,1,N-33-22-59.52,W-93-29-27.85
2025,107007,0,N-33-42-22.91,W-94-08-06.17
2025,107009,1,N-34-43-15.99,W-91-42-21.50
2025,107011,0,N-34-37-56.47,W-92-46-00.13
2025,107013,0,N-34-03-15.15,W-93-15-05.60
2025,107015,0,N-34-59-22.12,W-94-04-09.34
2025,107017,1,N-35-31-14.49,W-90-16-38.97
2025,107019,0,N-35-54-31.07,W-91-21-13.53
2025,107021,1,N-35-34-11.90,W-92-12-56.62
2025,107023,1,N-35-49-46.24,W-93-04-44.54
2025,107025,1,N-36-27-09.93,W-90-56-36.78
2025,107027,1,N-36-24-18.47,W-92-06-16.28
2025,107029,0,N-36-24-11.97,W-94-07-28.25
2025,107103,1,N-33-56-23.01,W-92-35-00.84
2025,107109,1,N-34-38-04.50,W-91-33-37.47
2025,107111,0,N-34-42-47.93,W-92-47-40.51
2025,107117,0,N-35-31-18.80,W-90-16-43.40
2025,107901,1,N-35-14-26.01,W-93-20-58.56
2025,107903,1,N-33-41-15.65,W-92-36-20.09
2025,111001,0,N-48-52-45.46,W-123-52-14.25
2025,111003,0,N-49-03-04.09,W-114-32-41.01
2025,111005,0,N-49-17-00.77,W-116-45-29.18
2025,111007,0,N-49-59-47.97,W-118-20-41.58
2025,111009,0,N-49-09-50.13,W-120-40-47.37
2025,111011,1,N-49-11-48.81,W-122-31-38.40
2025,111013,1,N-49-13-48.93,W-124-54-20.78
2025,111015,0,N-50-14-04.44,W-114-58-35.33
2025,111017,0,N-50-51-05.30,W-116-28-43.58
2025,111019,1,N-50-25-29.66,W-118-46-08.19
2025,111021,1,N-50-17-07.69,W-120-40-23.37
2025,111023,1,N-50-46-08.46,W-122-12-16.84
2025,111027,1,N-50-12-36.59,W-126-30-14.41
2025,111029,0,N-51-20-15.84,W-116-59-50.63
2025,111031,0,N-51-41-49.27,W-118-39-34.82
2025,111033,1,N-51-24-12.85,W-120-40-46.97
2025,111037,1,N-51-44-25.85,W-124-27-20.71
2025,111043,1,N-52-05-02.80,W-120-51-47.76
2025,111045,1,N-52-10-33.77,W-122-04-42.84
2025,111049,1,N-52-24-12.26,W-126-29-38.31
2025,111053,1,N-53-15-16.51,W-120-04-15.22
2025,111055,1,N-53-59-32.37,W-122-26-07.05
2025,111057,1,N-53-42-40.78,W-124-47-03.13
2025,111065,1,N-54-58-06.42,W-122-56-02.19
2025,111067,1,N-54-05-48.65,W-124-47-12.11
2025,111069,1,N-54-16-14.64,W-126-47-12.00
2025,111071,1,N-54-17-16.71,W-128-29-00.61
2025,111075,1,N-55-27-33.08,W-123-11-25.92
2025,111079,0,N-55-36-47.58,W-125-10-23.11
2025,111081,0,N-55-09-31.85,W-127-55-02.27
2025,111085,0,N-56-05-21.84,W-121-57-15.15
2025,111093,0,N-56-06-50.55,W-129-18-45.66
2025,111111,0,N-58-39-39.86,W-123-52-15.11
2025,111117,1,N-58-07-05.75,W-129-53-35.24
2025,111137,0,N-59-48-33.54,W-134-50-33.28
2025,111139,0,N-59-27-25.93,W-136-23-38.79
2025,111185,1,N-55-34-06.44,W-121-35-18.09
2025,111199,1,N-53-11-11.26,W-132-09-05.32
2025,111201,1,N-48-25-02.05,W-123-22-08.46
2025,111205,1,N-49-05-18.03,W-116-28-40.03
2025,111207,1,N-49-22-00.08,W-118-29-49.77
2025,111209,1,N-49-07-09.24,W-120-14-28.78
2025,111211,0,N-49-14-58.71,W-122-45-45.15
2025,111213,0,N-49-47-59.21,W-124-09-22.73
2025,111221,0,N-50-12-05.68,W-120-36-31.51
2025,111223,0,N-50-07-20.25,W-122-51-44.00
2025,111229,0,N-51-42-13.93,W-116-42-50.48
2025,111233,0,N-51-19-06.19,W-120-09-48.43
2025,111235,1,N-51-58-07.83,W-122-24-41.85
2025,111237,0,N-51-59-53.16,W-124-22-59.61
2025,111245,0,N-52-07-04.06,W-122-21-41.37
2025,111255,1,N-53-56-38.38,W-122-48-54.36
2025,111265,1,N-54-20-29.23,W-122-39-46.37
2025,111267,0,N-54-43-15.85,W-124-09-32.70
2025,111271,1,N-54-50-35.64,W-128-52-36.95
2025,111311,0,N-49-11-27.39,W-122-47-18.81
2025,111339,1,N-59-47-23.95,W-136-35-59.00
2025,111401,1,N-48-45-41.94,W-123-33-56.20
2025,111407,1,N-49-42-09.87,W-118-46-20.50
2025,111409,1,N-49-48-47.27,W-120-42-35.20
2025,111413,1,N-49-11-32.80,W-124-10-34.20
2025,111419,1,N-50-13-27.74,W-118-44-46.41
2025,111423,1,N-50-26-37.33,W-122-15-23.18
2025,111609,1,N-49-24-49.77,W-120-14-39.57
2025,111613,1,N-49-15-31.51,W-124-21-55.29
2025,111621,1,N-50-34-50.75,W-120-05-37.08
2025,111809,1,N-49-44-14.07,W-120-10-59.55
2025,114001,1,N-41-55-45.52,W-123-04-57.52
2025,114003,1,N-41-06-37.84,W-121-16-38.46
2025,114005,0,N-40-15-05.38,W-124-08-39.01
2025,114007,1,N-40-21-40.43,W-122-17-03.63
2025,114009,0,N-40-33-46.62,W-120-41-03.00
2025,114011,1,N-39-33-15.09,W-122-56-11.03
2025,114013,1,N-39-09-00.27,W-120-47-48.19
2025,114015,0,N-38-58-12.58,W-122-16-01.08
2025,114017,1,N-38-32-18.79,W-120-13-22.46
2025,114019,1,N-37-41-09.67,W-122-28-03.49
2025,114021,1,N-37-35-34.58,W-120-50-12.12
2025,114023,1,N-37-13-07.60,W-118-02-05.11
2025,114025,1,N-36-46-55.87,W-121-10-09.74
2025,114027,0,N-36-48-06.49,W-119-26-47.03
2025,114029,1,N-36-43-32.85,W-117-33-41.10
2025,114031,0,N-36-17-40.11,W-117-13-32.03
2025,114033,1,N-35-09-19.47,W-119-10-58.30
2025,114035,1,N-35-05-07.59,W-117-55-20.03
2025,114037,0,N-35-29-38.89,W-115-57-42.77
2025,114039,1,N-34-21-32.42,W-119-15-41.77
2025,114041,1,N-34-34-35.47,W-117-02-27.50
2025,114043,0,N-34-24-47.05,W-115-20-28.36
2025,114045,1,N-33-47-05.97,W-118-17-18.27
2025,114047,1,N-33-24-09.95,W-116-48-04.27
2025,114049,1,N-33-27-17.56,W-114-41-54.55
2025,114051,1,N-32-56-33.49,W-116-05-00.27
2025,114053,1,N-36-09-47.88,W-120-33-05.20
2025,114055,1,N-36-07-00.50,W-118-52-54.43
2025,114057,1,N-35-16-59.09,W-120-45-32.41
2025,114059,1,N-35-36-20.73,W-117-47-14.25
2025,114061,1,N-35-08-37.95,W-116-57-54.25
2025,114063,1,N-35-55-48.32,W-116-15-30.59
2025,114065,0,N-35-14-41.84,W-116-03-02.82
2025,114067,0,N-34-44-49.65,W-115-15-17.90
2025,114069,1,N-34-05-46.65,W-115-17-31.56
2025,114071,0,N-38-02-49.76,W-122-53-48.69
2025,114073,0,N-41-37-33.45,W-120-44-58.45
2025,114075,1,N-40-32-17.12,W-124-10-37.55
2025,114077,0,N-40-53-43.58,W-122-18-10.36
2025,114079,1,N-39-58-47.09,W-121-42-46.41
2025,114081,0,N-39-11-19.13,W-123-39-30.70
2025,114083,1,N-37-59-15.36,W-122-35-24.67
2025,114085,1,N-34-29-05.99,W-116-59-09.12
2025,114087,1,N-34-54-14.61,W-114-40-43.68
2025,114089,1,N-33-14-46.38,W-115-30-56.35
2025,114091,0,N-32-58-47.00,W-117-01-21.65
2025,114093,1,N-32-50-12.12,W-114-30-11.62
2025,114095,1,N-38-33-47.80,W-120-17-31.84
2025,114097,0,N-40-36-32.82,W-122-24-25.27
2025,114099,0,N-33-26-50.42,W-118-28-19.62
2025,114103,1,N-34-42-09.82,W-118-37-16.28
2025,114105,1,N-33-40-07.89,W-117-30-48.13
2025,114107,0,N-33-40-23.08,W-116-40-03.20
2025,114109,1,N-35-08-43.58,W-115-25-38.67
2025,114111,1,N-34-23-17.27,W-117-41-55.79
2025,114113,0,N-34-04-30.74,W-116-44-04.27
2025,114117,0,N-36-29-03.13,W-118-40-18.29
2025,114119,1,N-33-37-24.85,W-117-22-10.35
2025,114121,1,N-32-54-55.32,W-116-28-21.09
2025,114123,1,N-35-36-47.59,W-120-50-59.60
2025,114125,1,N-35-04-40.41,W-119-22-58.11
2025,114129,1,N-34-12-06.39,W-117-40-58.66
2025,114131,1,N-34-02-33.31,W-116-09-54.78
2025,114133,1,N-34-39-27.46,W-118-24-02.42
2025,114135,1,N-34-00-00.14,W-119-41-44.47
2025,114137,0,N-32-37-35.13,W-116-13-50.32
2025,114139,1,N-36-03-07.99,W-116-30-52.87
2025,114141,1,N-35-48-25.48,W-118-51-37.10
2025,114145,0,N-35-26-55.01,W-119-17-21.02
2025,114147,1,N-35-14-51.49,W-118-53-11.46
2025,114149,1,N-37-12-47.81,W-120-41-42.76
2025,114151,1,N-41-14-28.70,W-120-18-37.95
2025,114153,1,N-38-45-22.61,W-120-56-29.65
2025,114155,1,N-37-29-02.78,W-121-15-50.25
2025,114157,1,N-38-16-07.58,W-120-44-31.76
2025,114159,1,N-39-36-13.23,W-121-37-45.50
2025,114161,0,N-40-14-00.14,W-121-57-24.91
2025,114163,1,N-40-40-01.58,W-122-21-08.11
2025,114165,1,N-41-45-04.92,W-120-21-24.18
2025,114167,1,N-41-13-04.83,W-123-28-59.21
2025,114169,1,N-41-14-41.86,W-122-18-10.43
2025,114171,0,N-36-43-56.97,W-120-15-23.06
2025,114173,1,N-35-56-24.71,W-121-05-21.73
2025,114175,1,N-41-24-58.36,W-122-12-33.62
2025,114177,1,N-41-29-14.18,W-120-06-17.65
2025,114179,0,N-40-03-16.86,W-122-44-49.47
2025,114181,1,N-40-12-04.92,W-120-38-54.11
2025,114183,1,N-39-06-41.24,W-122-43-49.75
2025,114185,1,N-39-34-14.90,W-120-51-31.00
2025,114187,1,N-38-48-14.24,W-121-51-05.04
2025,114189,1,N-37-16-45.22,W-121-38-48.38
2025,114191,0,N-37-08-18.81,W-119-38-40.29
2025,114193,0,N-38-21-59.30,W-123-04-56.05
2025,114195,1,N-36-19-28.18,W-121-28-25.12
2025,114197,1,N-36-05-51.96,W-119-20-11.79
2025,114199,1,N-41-15-11.49,W-121-50-09.88
2025,114201,1,N-40-48-48.72,W-121-35-27.55
2025,114203,1,N-37-37-39.22,W-121-45-34.32
2025,114205,1,N-37-18-10.76,W-119-22-35.45
2025,114213,0,N-39-09-34.98,W-120-41-29.62
2025,114221,1,N-32-48-42.70,W-116-27-18.88
2025,114245,1,N-35-18-02.75,W-119-15-36.28
2025,114303,1,N-37-37-22.73,W-121-45-30.30
2025,114313,0,N-34-08-18.40,W-116-59-39.14
2025,114319,1,N-37-10-28.89,W-122-14-24.34
2025,114341,1,N-35-53-37.58,W-118-51-10.46
2025,114357,0,N-38-16-01.41,W-120-44-02.64
2025,114401,0,N-41-47-29.41,W-124-03-16.08
2025,114403,1,N-40-38-47.34,W-122-33-59.15
2025,114405,0,N-41-36-35.19,W-121-03-41.04
2025,114407,1,N-41-52-20.15,W-120-30-02.42
2025,114409,0,N-40-48-22.67,W-123-28-36.54
2025,114411,1,N-40-09-05.28,W-122-51-32.55
2025,114413,0,N-40-18-41.62,W-121-08-19.95
2025,114415,0,N-40-02-11.04,W-120-59-59.56
2025,114417,1,N-39-30-42.81,W-120-10-16.79
2025,114419,1,N-38-44-11.73,W-120-34-15.85
2025,114421,0,N-37-36-38.78,W-120-08-37.12
2025,114423,1,N-36-03-44.68,W-118-07-38.41
2025,114425,1,N-35-41-46.07,W-118-17-22.34
2025,114427,1,N-34-42-11.99,W-119-37-10.81
2025,114429,0,N-41-06-30.89,W-123-05-08.94
2025,114431,1,N-40-29-35.88,W-123-04-40.43
2025,114433,1,N-39-43-08.78,W-120-13-57.68
2025,114435,0,N-40-53-53.79,W-123-36-15.75
2025,114901,1,N-41-26-17.38,W-122-39-19.63
2025,114903,1,N-40-37-21.25,W-123-39-32.20
2025,114905,0,N-40-09-26.70,W-123-36-41.78
2025,114907,1,N-33-55-10.67,W-115-55-54.91
2025,117001,1,N-40-44-19.81,W-108-05-29.39
2025,117003,1,N-40-09-41.96,W-106-49-16.68
2025,117005,0,N-40-37-21.25,W-104-14-29.39
2025,117007,1,N-40-39-55.01,W-102-56-14.51
2025,117009,0,N-39-59-19.19,W-107-40-12.41
2025,117011,1,N-39-11-24.68,W-105-17-47.07
2025,117013,1,N-39-52-11.69,W-103-40-50.02
2025,117015,0,N-38-42-47.88,W-108-09-10.29
2025,117017,0,N-38-33-42.68,W-106-45-49.53
2025,117019,1,N-38-51-36.03,W-104-04-48.15
2025,117021,0,N-38-09-01.05,W-102-31-33.29
2025,117023,0,N-37-14-09.57,W-107-47-57.74
2025,117025,0,N-37-19-22.95,W-105-35-51.24
2025,117027,1,N-37-59-45.90,W-103-13-58.71
2025,117031,0,N-40-04-50.62,W-108-16-03.20
2025,117033,1,N-40-43-52.56,W-106-27-54.21
2025,117035,1,N-40-08-37.60,W-104-40-05.77
2025,117037,1,N-40-15-44.35,W-102-31-26.38
2025,117039,1,N-39-43-34.13,W-107-16-15.89
2025,117041,1,N-39-10-51.98,W-105-33-02.74
2025,117043,1,N-39-46-05.11,W-103-06-00.71
2025,117045,1,N-38-36-41.60,W-108-40-13.91
2025,117047,0,N-38-24-42.87,W-106-40-51.43
2025,117049,1,N-38-38-05.87,W-104-12-24.96
2025,117051,0,N-38-46-56.74,W-102-27-50.33
2025,117053,0,N-37-55-48.16,W-107-21-29.91
2025,117055,1,N-37-19-53.48,W-105-47-54.68
